# File: Vestas Climate Library time series data
# Disclaimer: Please be aware that the climate data provided here is derived from numerical models, which have inherent uncertainties and limitations. 
#             The data should be used with caution, considering the model's resolution, potential biases, and uncertainties. 
#             Expert consultation, thorough validation, and an understanding of the data's quality are essential for responsible use and decision-making. 
#             Vestas does not assume any responsibilities for the values contained in the VCL data and any calculations or assumptions that may be derived from them.
# License: Vestas Wind Systems A/S
#
# Created: 2023-12-06 19:15:08
# Location (WGS84):
# Requested minimum longitude [decimal degrees E]: 33.34
# Requested minimum latitude [decimal degrees N]: 26.22639
# Requested maximum longitude [decimal degrees E]: 34.36959
# Requested maximum latitude [decimal degrees N]: 27.05463
#
xlat,xlong,swdown_avg,t2_avg,tkepbl_avg_30.0,wsp_avg_30.0,t2_max,sst_min
26.261333,34.102631,268.890527,297.289235,0.4473534157,7.3511064962,318.36,0.00
26.232861,33.521881,274.004093,295.996822,0.4389389169,6.3854740634,318.03,0.00
26.701832,33.757568,271.128651,296.932657,0.5409730351,7.6910280188,317.74,0.00
26.424404,33.513000,274.407823,295.527186,0.4150282105,5.8563942246,317.31,0.00
26.923096,33.416718,277.318947,295.159935,0.5880319171,8.9066254330,315.55,0.00
26.249096,33.341370,273.968130,296.392395,0.4202630619,6.2088219773,319.57,0.00
26.391518,33.874329,269.533512,297.294703,0.4490727671,6.7546282815,318.93,0.00
26.518845,33.371429,274.638187,295.923238,0.3819707060,4.9911606897,318.99,0.00
26.949032,34.030090,262.636752,298.032884,0.2738184509,8.3521165090,311.96,294.26
26.420326,34.151489,263.474097,298.072358,0.2220053476,7.0950089369,308.42,294.10
26.405293,33.723785,270.869737,297.406210,0.4505826445,6.1163047178,319.15,0.00
26.294971,33.437653,274.561889,296.363756,0.4475649859,6.7352694959,318.27,0.00
26.404564,34.027954,268.186945,297.569151,0.4639210652,7.4390494941,317.21,0.00
26.584881,34.140198,263.278566,298.274573,0.2946109419,8.3334798504,307.34,294.16
26.669369,33.814819,269.975991,297.575333,0.4847123309,7.1923443103,318.54,0.00
26.408028,33.693665,271.521060,297.019439,0.4518632436,6.1718157150,319.15,0.00
26.302887,33.651337,272.529343,296.377934,0.4038921061,4.2426276966,318.51,0.00
26.304028,34.229218,263.431118,297.901001,0.2232004622,7.1986645156,307.72,294.04
26.468609,34.218018,263.263458,298.274558,0.2761078634,8.0314535761,307.34,294.12
26.454472,34.368561,262.720525,298.276058,0.2877690106,8.3408888085,307.45,294.24
26.593262,34.049805,263.388676,298.134240,0.2531999780,7.6126797698,310.13,294.13
27.037086,34.254150,261.400098,298.175657,0.2882218032,8.5263237041,306.97,294.26
26.381298,33.386505,274.931079,295.968925,0.4108575766,6.0861975284,318.30,0.00
26.569111,34.016541,266.195777,297.739207,0.4128079622,6.8966770666,318.65,0.00
26.575275,33.651794,272.131604,296.033062,0.4525096948,4.7985680070,318.42,0.00
26.276066,33.344360,273.664780,296.510262,0.4257674372,6.1484739678,319.71,0.00
26.486477,33.428680,275.551947,295.509485,0.4012311855,5.0037593092,317.43,0.00
26.607708,33.594543,273.617767,295.878929,0.4245873315,5.3536015745,318.65,0.00
26.609947,33.868958,268.149256,297.773655,0.4837280592,7.2570606275,318.73,0.00
26.316113,33.804871,270.447832,297.397791,0.4265233850,5.0805773001,318.49,0.00
26.563530,34.076782,263.393445,298.131871,0.2530529210,7.5227559267,308.82,294.13
26.522526,34.224304,263.195402,298.287741,0.2933796523,8.3465325176,306.98,294.14
26.994499,34.126953,262.105826,298.089655,0.2892976397,8.5514409397,308.70,294.26
26.561562,33.802490,269.625738,298.113011,0.4448767295,6.1478506182,319.35,0.00
26.766071,33.947876,266.074899,298.875987,0.5327492368,8.5218163408,317.37,0.00
26.672901,34.363831,262.310363,298.238776,0.3053083572,8.7218227292,306.99,294.32
26.349476,34.325775,263.069498,298.231177,0.2698489769,7.9764490736,307.98,294.15
26.256657,33.858887,271.311091,296.574584,0.4148386127,5.9134057215,317.73,0.00
27.035358,33.979034,262.544618,297.932099,0.2590180564,8.0230470988,309.50,294.30
26.773483,34.162201,262.812648,298.223567,0.3158816171,8.8949149440,308.24,294.22
27.049225,33.827911,268.566556,297.610782,0.4454575532,7.5163272764,316.94,0.00
27.013992,33.915466,262.812952,297.730780,0.2248071876,7.7825476460,311.89,285.86
27.048328,34.133270,261.798085,298.044916,0.2820567428,8.4359826839,309.63,294.26
26.780300,33.492126,275.872912,294.974466,0.4616592379,6.6107259838,316.61,0.00
26.615479,33.808655,269.500923,297.692051,0.4884559998,7.1633070611,318.95,0.00
26.954590,33.969666,262.825982,297.824226,0.2422271039,7.9802449792,311.61,286.30
26.542839,33.708984,272.517740,295.613513,0.4589329994,5.6662841293,316.66,0.00
26.828259,33.863556,270.113894,298.672542,0.6340462389,9.1891184473,317.36,0.00
26.594906,34.324158,262.707527,298.267155,0.3060096496,8.6693862032,306.97,294.25
26.850231,33.622040,273.669311,295.151555,0.5174303777,8.0146183183,315.08,0.00
27.038746,33.643463,271.013895,297.661238,0.5415705042,8.0286977949,319.09,0.00
